number, supplement, name
1468,0,Cheyres
1470,0,Estavayer-le-Lac
1470,2,Lully FR
1470,2,Lully FR
1470,3,Seiry
1470,4,Bollion
1473,0,Font
1473,2,Châtillon FR
1474,0,Châbles FR
1475,0,Autavaux
1475,2,Forel FR
1475,3,Montbrelloz
1482,0,Cugy FR
1483,0,Montet (Broye)
1483,0,Montet (Broye)
1483,2,Frasses
1483,3,Vesin
1484,0,Aumont
1484,2,Granges-de-Vesin
1485,0,Nuvilly
1485,0,Nuvilly
1486,0,Vuissens
1489,0,Murist
1509,0,Vucherens
1510,0,Moudon
1510,2,Syens
1512,0,Chavannes-s-Moudon
1513,0,Hermenches
1513,0,Hermenches
1513,0,Hermenches
1513,2,Rossenges
1514,0,Bussy-sur-Moudon
1515,0,Villars-le-Comte
1515,1,Neyruz-sur-Moudon
1521,0,Curtilles
1522,0,Lucens
1522,0,Lucens
1522,9,Oulens-sur-Lucens
1523,0,Granges-Marnand
1524,0,Marnand
1525,0,Henniez
1525,2,Seigneux
1525,2,Seigneux
1526,0,Forel-sur-Lucens
1526,2,Cremin
1527,0,Villeneuve FR
1528,0,Surpierre
1528,2,Praratoud
1529,0,Cheiry
1530,0,Payerne
1530,0,Payerne
1532,0,Fétigny
1533,0,Ménières
1534,0,Sassel
1534,0,Sassel
1534,2,Chapelle (Broye)
1535,0,Combremont-Grand
1536,0,Combremont-Petit
1537,0,Champtauroz
1538,0,Treytorrens-Payern
1541,0,Bussy FR
1541,2,Morens FR
1541,3,Sévaz
1542,0,Rueyres-les-Prés
1543,0,Grandcour
1544,0,Gletterens
1545,0,Chevroux
1551,0,Vers-chez-Perrin
1552,0,Trey
1553,0,Châtonnaye
1554,0,Sédeilles
1554,2,Rossens VD
1555,0,Villarzel
1562,0,Corcelles-Payerne
1562,0,Corcelles-Payerne
1562,0,Corcelles-Payerne
1563,0,Dompierre FR
1564,0,Domdidier
1565,0,Missy
1565,2,Vallon
1566,0,St-Aubin FR
1566,2,Les Friques
1567,0,Delley
1568,0,Portalban
1580,0,Avenches
1580,0,Avenches
1580,2,Oleyres
1580,2,Oleyres
1580,3,Donatyre
1583,0,Villarepos
1584,0,Villars-le-Grand
1585,0,Salavaux
1585,2,Bellerive VD
1585,3,Cotterd
1586,0,Vallamand
1587,0,Montmagny
1587,1,Constantine
1588,0,Cudrefin
1589,0,Chabrey
1595,0,Faoug
1595,2,Clavaleyres
1607,0,Palézieux
1607,1,Palézieux-Village
1607,3,Les Tavernes
1607,4,Les Thioleyres
1607,4,Les Thioleyres
1608,0,Oron-le-Châtel
1608,2,Bussigny-sur-Oron
1608,3,Chesalles-sur-Oron
1608,4,Chapelle (Glâne)
1609,0,St-Martin FR
1609,2,Besencens
1609,3,Fiaugères
1610,0,Oron-la-Ville
1610,1,Châtillens
1610,2,Vuibroye
1611,0,Le Crêt-p-Semsales
1612,0,Ecoteaux
1612,0,Ecoteaux
1613,0,Maracon
1614,0,Granges (Veveyse)
1614,0,Granges (Veveyse)
1615,0,Bossonnens
1616,0,Attalens
1617,0,Remaufens
1617,2,Tatroz
1618,0,Châtel-St-Denis
1618,0,Châtel-St-Denis
1619,0,Les Paccots
1623,0,Semsales
1624,0,La Verrerie
1624,2,Grattavache
1624,3,Progens
1624,3,Progens
1625,0,Sâles (Gruyère)
1625,2,Maules
1626,0,Romanens
1626,2,Treyfayes
1626,3,Rueyres-Treyfayes
1627,0,Vaulruz
1627,0,Vaulruz
1628,0,Vuadens
1628,0,Vuadens
1630,0,Bulle
1632,0,Riaz
1633,0,Marsens
1633,2,Vuippens
1634,0,La Roche FR
1635,0,La Tour-de-Trême
1635,0,La Tour-de-Trême
1635,0,La Tour-de-Trême
1636,0,Broc
1636,0,Broc
1637,0,Charmey (Gruyère)
1638,0,Morlon
1642,0,Sorens
1643,0,Gumefens
1644,0,Avry-devant-Pont
1645,0,Le Bry
1646,0,Echarlens
1646,0,Echarlens
1647,0,Corbières
1648,0,Hauteville
1649,0,Pont-la-Ville
1651,0,Villarvolard
1652,0,Botterens
1652,2,Villarbeney
1653,2,Crésuz
1653,3,Châtel-Montsalvens
1654,0,Cerniat FR
1656,0,Jaun
1656,1,Im Fang
1657,0,Abländschen
1657,0,Abländschen
1658,0,Rossinière
1658,2,La Tine
1659,0,Rougemont
1659,0,Rougemont
1659,2,Flendruz
1659,2,Flendruz
1660,0,Château-d'Oex
1660,2,Les Moulins
1660,3,L'Etivaz
1660,4,La Lécherette
1661,0,Pâquier-Montbarry
1661,0,Pâquier-Montbarry
1663,0,Gruyères
1663,2,Pringy
1663,3,Epagny
1663,4,Moléson-s-Gruyères
1665,0,Estavannens
1666,0,Grandvillard
1666,2,Villars-sous-Mont
1667,0,Enney
1669,0,Albeuve
1669,2,Lessoc
1669,3,Sciernes-d'Albeuve
1669,4,Neirivue
1669,5,Montbovon
1670,0,Ursy
1670,2,Bionnens
1670,3,Esmonts
1673,0,Promasens
1673,2,Gillarens
1673,3,Auboranges
1673,4,Ecublens FR
1673,5,Rue
1674,0,Vuarmarens
1674,2,Montet (Glâne)
1674,3,Morlens
1675,0,Vauderens
1675,2,Blessens
1675,2,Blessens
1675,3,Mossel
1676,0,Chavannes-Forts
1677,0,Prez-vers-Siviriez
1678,0,Siviriez
1679,0,Villaraboud
1680,0,Romont FR
1680,0,Romont FR
1680,0,Romont FR
1680,2,Berlens
1681,0,Billens
1681,2,Hennens
1682,0,Prévonloup
1682,2,Lovatens
1682,3,Dompierre VD
1682,4,Villars-Bramard
1682,5,Cerniaz VD
1683,0,Brenles
1683,2,Chesalles-Moudon
1683,3,Sarzens
1684,0,Mézières FR
1685,0,Villariaz
1686,0,Grangettes-Romont
1686,2,La Neirigue
1687,0,Vuisternens-Romont
1687,2,La Magne
1687,3,Estévenens
1688,0,Sommentier
1688,2,Lieffrens
1689,0,Châtelard-p-Romont
1690,0,Villaz-St-Pierre
1690,0,Villaz-St-Pierre
1690,2,Lussy FR
1691,0,Villarimboud
1692,0,Massonnens
1694,0,Villarsiviriaux
1694,2,Villargiroud
1694,3,Orsonnens
1694,4,Chavannes-Orsonnen
1695,0,Villarlod
1695,2,Rueyres-St-Laurent
1695,3,Estavayer-Gibloux
1695,4,Villarsel-Gibloux
1696,0,Vuisternens-Ogoz
1697,0,La Joux FR
1697,2,Les Ecasseys
1699,0,Porsel
1699,2,Pont (Veveyse)
1699,3,Bouloz
1700,0,Fribourg
1700,0,Fribourg
1700,0,Fribourg
1712,0,Tafers
1712,0,Tafers
1712,0,Tafers
1713,0,St. Antoni
1713,0,St. Antoni
1713,0,St. Antoni
1713,0,St. Antoni
1714,0,Heitenried
1714,0,Heitenried
1715,0,Alterswil FR
1715,0,Alterswil FR
1715,0,Alterswil FR
1716,0,Plaffeien
1716,2,Oberschrot
1716,3,Schwarzsee
1716,3,Schwarzsee
1716,3,Schwarzsee
1717,0,St. Ursen
1717,0,St. Ursen
1718,0,Rechthalten
1718,0,Rechthalten
1719,0,Brünisried
1719,0,Brünisried
1719,2,Zumholz
1720,0,Corminboeuf
1720,2,Chésopelloz
1721,1,Misery
1721,1,Misery
1721,2,Cormérod
1721,4,Courtion
1721,5,Cournillens
1722,0,Bourguillon
1723,0,Marly
1723,3,Villarsel-Marly
1723,4,Pierrafortscha
1724,0,Le Mouret
1724,0,Le Mouret
1724,2,Essert FR
1724,2,Essert FR
1724,3,Ferpicloz
1724,4,Montévraz
1724,5,Oberried FR
1724,6,Senèdes
1724,6,Senèdes
1724,7,Zénauva
1724,8,Bonnefontaine
1724,8,Bonnefontaine
1725,0,Posieux
1725,0,Posieux
1726,0,Farvagny-le-Grand
1726,2,Farvagny-le-Petit
1726,3,Grenilles
1726,4,Posat
1727,0,Corpataux
1727,2,Magnedens
1728,0,Rossens FR
1730,0,Ecuvillens
1731,0,Ependes FR
1732,0,Arconciel
1733,0,Treyvaux
1733,0,Treyvaux
1734,0,Tentlingen
1734,0,Tentlingen
1735,0,Giffers
1735,0,Giffers
1736,0,St. Silvester
1737,0,Plasselb
1738,0,Sangernboden
1738,0,Sangernboden
1738,0,Sangernboden
1740,0,Neyruz FR
1741,0,Cottens FR
1742,0,Autigny
1744,0,Chénens
1745,0,Lentigny
1745,0,Lentigny
1746,0,Prez-vers-Noréaz
1747,0,Corserey
1748,0,Torny-le-Grand
1749,0,Middes
1752,0,Villars-sur-Glâne
1753,0,Matran
1753,0,Matran
1754,2,Corjolens
1754,4,Avry-sur-Matran
1756,0,Onnens FR
1756,2,Lovens
1757,0,Noréaz
1762,0,Givisiez
1763,0,Granges-Paccot
1772,0,Grolley
1772,1,Nierlet-les-Bois
1772,2,Ponthaux
1773,0,Léchelles
1773,2,Chandon
1773,3,Russy
1774,0,Cousset
1774,2,Montagny-les-Monts
1775,2,Mannens
1775,3,Grandsivaz
1776,0,Montagny-la-Ville
1776,0,Montagny-la-Ville
1782,0,Belfaux
1782,2,Autafond
1782,3,Lossy
1782,4,La Corbaz
1782,5,Cormagens
1782,6,Formangueires
1783,0,Pensier
1783,4,Barberêche
1784,0,Courtepin
1784,3,Wallenried
1785,0,Cressier FR
1786,0,Sugiez
1787,0,Môtier (Vully)
1787,1,Mur (Vully) FR
1787,2,Mur (Vully) VD
1788,0,Praz (Vully)
1789,0,Lugnorre
1791,0,Courtaman
1792,0,Cordast
1792,2,Guschelmuth
1793,0,Jeuss
1794,0,Salvenach
1795,0,Courlevon
1796,0,Courgevaux
1797,0,Münchenwiler
1800,0,Vevey
1801,0,Le Mont-Pèlerin
1802,0,Corseaux
1803,0,Chardonne
1803,0,Chardonne
1804,0,Corsier-sur-Vevey
1804,0,Corsier-sur-Vevey
1805,0,Jongny
1805,0,Jongny
1805,0,Jongny
1806,0,St-Légier-Chiésaz
1807,0,Blonay
1807,0,Blonay
1808,0,Monts-de-Corsier
1808,0,Monts-de-Corsier
1809,0,Fenil-sur-Corsier
1814,0,La Tour-de-Peilz
1815,0,Clarens
1816,0,Chailly-Montreux
1816,0,Chailly-Montreux
1817,0,Brent
1820,0,Montreux
1820,5,Territet
1820,6,Veytaux
1822,0,Chernex
1823,0,Glion
1824,0,Caux
1832,0,Chamby
1832,2,Villard-sur-Chamby
1833,0,Les Avants
1844,0,Villeneuve VD
1845,0,Noville
1846,0,Chessel
1846,0,Chessel
1847,0,Rennaz
1852,0,Roche VD
1852,0,Roche VD
1853,0,Yvorne
1854,0,Leysin
1856,0,Corbeyrier
1860,0,Aigle
1860,0,Aigle
1862,0,Les Mosses
1862,2,La Comballaz
1863,0,Le Sépey
1863,0,Le Sépey
1864,0,Vers-l'Eglise
1865,0,Les Diablerets
1866,0,La Forclaz VD
1866,0,La Forclaz VD
1866,0,La Forclaz VD
1867,0,Ollon VD
1867,2,St-Triphon
1867,3,Panex
1868,0,Collombey
1869,0,Massongex
1870,0,Monthey
1871,0,Choëx
1871,2,Les Giettes
1871,2,Les Giettes
1872,0,Troistorrents
1872,0,Troistorrents
1873,0,Val-d'Illiez
1873,2,Champoussin
1873,3,Les Crosets
1874,0,Champéry
1875,0,Morgins
1880,0,Bex
1880,0,Bex
1880,2,Frenières-sur-Bex
1880,2,Frenières-sur-Bex
1880,3,Fenalet-sur-Bex
1880,4,Les Plans-sur-Bex
1880,5,Les Posses-sur-Bex
1880,5,Les Posses-sur-Bex
1882,0,Gryon
1882,0,Gryon
1884,0,Villars-sur-Ollon
1884,2,Arveyes
1884,3,Huémoz
1885,0,Chesières
1890,0,St-Maurice
1890,1,Mex VS
1891,11,Vérossaz
1891,11,Vérossaz
1892,0,Lavey-Village
1892,1,Lavey-les-Bains
1892,2,Morcles
1893,0,Muraz (Collombey)
1895,0,Vionnaz
1896,0,Vouvry
1896,2,Miex
1897,0,Bouveret
1897,3,Les Evouettes
1898,0,St-Gingolph
1899,0,Torgon
